FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
17514.844,28000,1,2,12,NA,58,.,2,NA,1,NA,2,NA,8,3,4,1,12,0,0,0,0,0,0,0,0,.,67000,1,1,1,6,42,.,1,1,01,NA,32,8,1730,0,NA,7000,02,2,NA,NA
23266.425,75000,1,1,15,12,45,33,1,2,1,1,2,2,2,1,2,1,15,0,0,0,0,0,0,0,0,.,.,4,3,2,5,50,.,1,1,06,NA,17,3,9622,.,NA,.,05,2,NA,NA
28839.66,62000,1,4,14,12,63,63,2,1,1,1,2,2,1,1,3,1,14,0,0,0,0,0,0,0,0,.,0,2,2,2,5,40,80,2,2,02,10,12,5,6902,.,NA,.,01,2,NA,NA
19629.416,84020,1,1,15,NA,45,.,1,NA,1,NA,2,NA,8,5,1,1,15,0,0,0,0,0,0,0,0,.,25000,4,1,1,4,40,.,1,1,04,NA,36,2,18826,.,NA,.,06,2,NA,NA
20563.393,51982,1,1,15,NA,72,.,2,NA,1,NA,2,NA,8,2,1,1,15,0,0,0,0,0,0,0,0,.,100000,2,1,1,10,40,.,1,1,10,NA,34,2,3733,.,NA,.,01,2,NA,NA
16170.453,123200,2,4,15,14,62,55,1,2,1,1,2,2,1,1,3,2,15,0,0,0,0,0,0,0,0,.,.,1,2,3,6,50,36,2,2,07,04,47,6,14455,200,NA,20000,01,2,NA,NA
23628.936,37792,1,4,15,15,73,73,1,2,1,1,2,2,1,1,4,1,15,0,0,0,0,0,0,0,0,.,15000,1,2,3,5,.,.,8,0,NA,NA,49,8,0,.,NA,.,01,2,NA,NA
23778.358,25724,1,1,13,13,73,72,1,2,1,1,2,2,1,1,3,1,13,0,0,0,0,0,0,0,0,.,.,2,2,4,8,.,.,8,0,NA,NA,48,7,0,.,NA,.,01,2,NA,NA
23396.607,2000,1,5,11,NA,63,.,2,NA,4,NA,2,NA,8,4,NA,2,11,0,0,0,0,0,0,0,0,.,0,4,1,0,3,10,.,1,1,09,NA,NA,NA,-153,.,NA,.,08,2,NA,NA
23024.34,135000,1,1,15,NA,32,.,2,NA,5,NA,2,NA,9,3,4,1,15,0,0,0,0,0,0,0,0,.,90000,4,2,2,2,50,.,4,2,03,NA,06,9,26795,.,NA,17000,08,2,NA,NA
